clubName,tier,squadSize,ratedCount,squadAverageOvr,startingXiAverageOvr,highestPlayer,highestOvr,lowestPlayer,lowestOvr,squadConfidence,status
RC Celta de Vigo,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
SV Werder Bremen,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
FC Bayern München,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Bayer 04 Leverkusen,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
VfL Wolfsburg,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
1. FC Heidenheim 1846,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
TSG 1899 Hoffenheim,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
SC Freiburg,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
FC Augsburg,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Borussia Mönchengladbach,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
VfB Stuttgart,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
VfL Bochum 1848,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Borussia Dortmund,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
1. FC Köln,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
1. FC Union Berlin,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
1. FSV Mainz 05,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Eintracht Frankfurt,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
SV Darmstadt 98,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Empoli FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Hellas Verona FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Frosinone Calcio,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
SSC Napoli,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Genoa CFC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
ACF Fiorentina,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
FC Internazionale Milano,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
AS Roma,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
US Sassuolo Calcio,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Atalanta BC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
US Lecce,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
SS Lazio,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Udinese Calcio,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Juventus FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Torino FC,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Cagliari Calcio,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
Bologna FC 1909,Tier C (Insufficient Data),0,0,,,,,,,0.0,UNRATED / INSUFFICIENT DATA
