statId,playerId,playerName,primaryPosition,positionGroup,clubName,seasonKey,status,ovr,confidence,minutesPlayed,appearances,finishing,shotPower,shotAccuracy,positioning,attackingMovement,shortPassing,longPassing,vision,crossing,throughBalls,chanceCreation,tackling,interceptions,marking,defensiveAwareness,positioningDef,blocks,aerialAbility,dribbling,ballControl,composure,stamina,strength,pace,acceleration,workRate,gkReflexes,gkHandling,gkPositioning,gkKicking,gkClaims
laliga-stat-16964-2021-2022,laliga-p-16964,Manuel Lama,CB,DEFENDER,Atlético de Madrid,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-9365-2021-2022,laliga-p-9365,Manuel Navarro,CM,MIDFIELDER,Rayo Vallecano,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-7-2021-2022,laliga-p-7,Marc Bartra,CB,DEFENDER,Real Betis,2021-2022,RATED,89,0.99,1994,23,60.0,63.0,61.0,65.0,69.0,82.0,81.0,82.0,80.0,81.0,82.0,91.0,90.0,89.0,90.0,89.0,88.0,89.0,75.0,76.0,77.0,82.0,81.0,81.0,81.0,84.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-24046-2021-2022,laliga-p-24046,Marc Carmona,CB,DEFENDER,RCD Mallorca,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-6121-2021-2022,laliga-p-6121,Unknown Player,CM,MIDFIELDER,Brighton & Hove Albion FC,2021-2022,RATED,85,0.99,3092,35,60.0,63.0,61.0,65.0,73.0,87.0,85.0,86.0,84.0,85.0,86.0,82.0,82.0,81.0,82.0,81.0,80.0,85.0,76.0,77.0,79.0,92.0,90.0,90.0,90.0,90.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-25275-2021-2022,laliga-p-25275,Marc Pubill,CB,DEFENDER,Levante UD,2021-2022,RATED,70,0.62,512,11,60.0,60.0,60.0,61.0,60.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,71.0,71.0,71.0,71.0,71.0,69.0,65.0,65.0,64.0,61.0,62.0,62.0,62.0,63.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-26542-2021-2022,laliga-p-26542,Marc Tenas,ST,ATTACKER,Deportivo Alavés,2021-2022,UNRATED,,0.05,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-1339-2021-2022,laliga-p-1339,Marc-André ter Stegen,GK,GOALKEEPER,FC Barcelona,2021-2022,RATED,68,0.99,3150,35,54.0,58.0,55.0,58.0,69.0,65.0,65.0,65.0,65.0,65.0,65.0,46.0,47.0,48.0,47.0,48.0,50.0,60.0,69.0,69.0,74.0,92.0,90.0,89.0,89.0,83.0,68.0,68.0,68.0,66.0,68.0
laliga-stat-57-2021-2022,laliga-p-57,Marcelo Vieira Da Silva Junior,CB,DEFENDER,Real Madrid CF,2021-2022,RATED,68,0.64,521,12,64.0,64.0,64.0,66.0,63.0,90.0,88.0,89.0,86.0,88.0,89.0,66.0,66.0,66.0,66.0,66.0,66.0,64.0,72.0,73.0,70.0,61.0,62.0,63.0,63.0,62.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-9251-2021-2022,laliga-p-9251,Marcelo Saracchi,CB,DEFENDER,Levante UD,2021-2022,RATED,76,0.24,186,4,59.0,59.0,60.0,61.0,61.0,70.0,69.0,69.0,69.0,69.0,69.0,79.0,78.0,78.0,78.0,78.0,77.0,74.0,67.0,67.0,66.0,63.0,63.0,64.0,64.0,66.0,10.0,10.0,10.0,10.0,10.0
